id,name,price,type
31,item31,31000,4
32,item32,32000,4
33,item33,33000,4
34,item34,34000,4
35,item35,35000,4
36,item36,36000,4
37,item37,37000,4
38,item38,38000,4
39,item39,39000,4
40,item40,40000,4
41,item41,41000,5
42,item42,42000,5
43,item43,43000,5
44,item44,44000,5
45,item45,45000,5
46,item46,46000,5
47,item47,47000,5
48,item48,48000,5
49,item49,49000,5
50,item50,50000,5
51,item51,51000,6
52,item52,52000,6
53,item53,53000,6
54,item54,54000,6
55,item55,55000,6
56,item56,56000,6
57,item57,57000,6
58,item58,58000,6
59,item59,59000,6
60,item60,60000,6
